nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
My Pharmacy (Austin) Sdn. Bhd.,67,"Jalan Austin Heights 3, Taman Mount Austin",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
My Pharmacy (JJ) Sdn. Bhd.,29,"Jalan Dedap 4, Taman Johor Jaya",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
MY PHARMACY (KOTA) SDN. BHD.,"S046, 047, 048, 049, 050 & 051, Kipmart Kota Tinggi",Jalan Maju,Kota Tinggi,Kota Tinggi,Johor,81900,Runcit,2020/12/31 00:00:00.000
My Pharmacy (KT) Sdn. Bhd.,"SN32, SN33 & SN34, No. 274 - 1","Jalan Utama, Taman Bintang Utama",Senai,Kulai,Johor,81400,Runcit,2020/12/31 00:00:00.000
MY PHARMACY (KULAI) SDN BHD [BIG PHARMACY],NO. 38,"Jalan Titiwangsa 3/2, Taman Tampoi Indah",Tampoi,Johor Bahru,Johor,81200,Runcit,2020/12/31 00:00:00.000
My Pharmacy (Kulai) Sdn. Bhd.,No. 38,"Jalan Titiwangsa 3/2, Taman Tampoi Indah",Tampoi,Johor Bahru,Johor,81200,Runcit,2020/12/31 00:00:00.000
My Pharmacy (NB) Sdn. Bhd.,9G,"Jalan Bestari 1/5, Taman Nusa Bestari",Skudai,Johor Bahru,Johor,81300,Runcit,2020/12/31 00:00:00.000
My Pharmacy (Pandan) Sdn. Bhd.,"FA 20, Bangunan Smart PTD 68948","Batu 7 1/2, Jalan Kota Tinggi Pandan",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
My Pharmacy (Pelangi) Sdn. Bhd.,56,"Jalan Perang, Taman Pelangi",Johor Bahru,Johor Bahru,Johor,80400,Runcit,2020/12/31 00:00:00.000
My Pharmacy (Sentosa) Sdn. Bhd.,45,"Jalan Sutera 1, Taman Sentosa",Johor Bahru,Johor Bahru,Johor,80150,Runcit,2020/12/31 00:00:00.000
My Store Dynamic Sdn Bhd [MedAid Pharmacy],No 6 (GF),Jalan Kristal K7/K Seksyen 7,Shah Alam,Petaling,Selangor,40000,Runcit,2020/12/31 00:00:00.000
My-Venture Pharma Sdn Bhd [Friends Pharmacy],5-G,"Jalan Setiawangsa 9, Taman Setiawangsa",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,54200,Runcit,2020/12/31 00:00:00.000
MYANGKASA FARMASI SDN BHD [COOP FARMASI],"B16-B18, Ground Floor","Jalan IM 7/18, Sinaran Mahkota","Bandar Indera Mahkota, Kuantan",Kuantan,Pahang,25200,Borong & Runcit,2020/12/31 00:00:00.000
Mycare Advisors Sdn Bhd [Pharmacy Ekopharm],Lot No G07 & G08 Ground Floor The 19 USJ City Mall,Persiaran Kewajipan USJ 19,Subang Jaya,Petaling,Selangor,47620,Runcit,2020/12/31 00:00:00.000
Mycitycare Sdn Bhd [Farmasi Citycare],3,"Jalan Metro Perdana Barat 1, Taman Usahawan Kepong",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,52100,Runcit,2020/12/31 00:00:00.000
Mycityhealth Sdn Bhd,"Unit 15, Basement 2, 
","Pusat Perdagangan Kuchai, No. 2, Jalan 1/127, Off Jalan Kuchai Lama",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
Mycityhealth Sdn Bhd [Citycare Pharmacy],Lot 3-5 Level 3 Lot 647 & 682,"Jalan Rawang, Rawang Jaya",Rawang,Hulu Selangor,Selangor,48000,Runcit,2020/12/31 00:00:00.000
Mycityhealth Sdn Bhd [Citycare Pharmacy],2A-1 & 2A-3,Jalan PJU 5/7 PJU 5 Dataran Sunway,Petaling Jaya,Petaling,Selangor,47810,Runcit,2020/12/31 00:00:00.000
MyCityHealth Sdn. Bhd. [Citycare Pharmacy],"Lot No 1, GF, Plaza 393, No 61","Jalan Peel, Taman Maluri Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Mycitylife Sdn Bhd [Farmasi City Care],6 (GF),Jalan 1 Selayang Baru,Batu Caves,Gombak,Selangor,68100,Runcit,2020/12/31 00:00:00.000
Mydi Pharmacy Resources,136,"Jalan Bukit Kempas 1/18, Taman Bukit Kempas",Tampoi,Johor Bahru,Johor,81200,Runcit,2020/12/31 00:00:00.000
MYFIRST PHARMACY [MYFIRST PHARMACY],"NO. 15, PUSAT PERNIAGAAN SENA",Persiaran Dato' Ali,Kangar,Kangar,Perlis,01000,Runcit,2020/12/31 00:00:00.000
MYFRENZ PHARMACY [MYFRENZ PHARMACY],"PT 2573 Tingkat Bawah Taman Sri Atira, Mahang West",Jalan Kuala Krai,Kok Lanas,Kota Bharu,Kelantan,16450,Runcit,2020/12/31 00:00:00.000
MYGS VENTURE SDN BHD [FARMASI MERCURY],"No 23 & 25, Jalan Sentral, Triang 8",Triang,Triang,Bera,Pahang,28300,Runcit,2020/12/31 00:00:00.000
Mylife Healthcare Sdn Bhd [Farmasi MyLife Healthcare],27,Jalan Pelapik B U8/B Bukit Jelutong Seksyen U8,Shah Alam,Petaling,Selangor,40150,Runcit,2020/12/31 00:00:00.000
MYTOWN PHARMACY,"No. 28, G/F",Lorong Lau King Howe 1,Sibu,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
NADI CARE ADVANCE PHARMACY [FARMASI NADI CARE ADVANCE],1306,"Jalan Besar, Taman Rasaria",Sungai Bakap,Seberang Perai Selatan,Pulau Pinang,14200,Runcit,2020/12/31 00:00:00.000
Najah Healthcare (M) Sdn Bhd [Farmasi Najah],27G,Jalan Utarid B U5/B Seksyen U5,Shah Alam,Petaling,Selangor,40150,Runcit,2020/12/31 00:00:00.000
Nasehah Niaga [Farmasi Aslam],"Lot 10, Ground Floor, Pekan Goshen",Jalan Goshen,Kota Marudu,Kota Marudu,Sabah,89108,Runcit,2020/12/31 00:00:00.000
Nasra Pharmacy Sdn Bhd [Farmasi Nasra],Lot G-10 BUSC 1,Jalan Medan Bangi Off Persiaran Kemajuan,Bandar Baru Bangi,Hulu Langat,Selangor,43650,Runcit,2020/12/31 00:00:00.000
Nasra Pharmacy Sdn Bhd [Farmasi Nasra],No 15,Jalan 6C/5,Bandar Baru Bangi,Hulu Langat,Selangor,43650,Borong & Runcit,2020/12/31 00:00:00.000
NASRAC PHARMA SDN BHD [FARMASI NILAM],NO 3 dan 3a,"Jalan Bandar Baharu 1, Bandar Baharu Batu Gajah",Batu Gajah,Kinta,Perak,31000,Borong & Runcit,2020/12/31 00:00:00.000
NATURAL HEALTHY LIVING SDN BHD [NATURAL HEALTHY LIVING FARMASI],"B-G-36, Ground Floor","One Stop Complex, Midlands Park, Jalan Burmah",Georgetown,Timur Laut,Pulau Pinang,10350,Runcit,2020/12/31 00:00:00.000
Natural Healthy Living Sdn. Bhd.,"Wisma GAMA, No.1 (Tingkat Bawah)",Jalan Dato Keramat,Georgetown,Timur Laut,Pulau Pinang,10150,Runcit,2020/12/31 00:00:00.000
NATURE PHARMACY [FARMASI NATURE],2797,"Jalan Sj 3/1 A, Taman Seremban Jaya",Seremban,Seremban,Negeri Sembilan,70450,Runcit,2020/12/31 00:00:00.000
NATURE-CARE PHARMACY SDN BHD [FARMASI MCARE],19,Lorong Mahsuri 7,Bayan Lepas,Barat Daya,Pulau Pinang,11950,Runcit,2020/12/31 00:00:00.000
Naturelife Pharmacy Sdn Bhd,A-G-03 Conezion Commercial,Persiaran IRC 3 IOI Resort City,Putrajaya,Sepang,Selangor,62502,Runcit,2020/12/31 00:00:00.000
Naturokare Resources Sdn Bhd,47,"Jalan Kuchai Maju 1, Off Jalan Kuchai Lama",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
Neighbourcare Pharmacy,"Lot 28, Tingkat Bawah, Blok D, Kedai Plaza Grand Millennium",Jalan Pintas Penampang,Penampang,Penampang,Sabah,88300,Runcit,2020/12/31 00:00:00.000
New Fruiti Pharmacy Company,77,Jalan Maxwell,Rawang,Hulu Selangor,Selangor,48000,Runcit,2020/12/31 00:00:00.000
NEW HEALTH CARE PHARMACY SDN BHD [NEW HEALTH CARE PHARMACY SDN BHD],1G,Jalan Macalister,Georgetown,Timur Laut,Pulau Pinang,11600,Runcit,2020/12/31 00:00:00.000
NEWDAY PHARMACY,"Ground Floor, Sublot 5, Survey Lot 19544, Block 2, Saradise Kuching",Jalan Stutong,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
Newtown Pharmacy Sdn Bhd,No.26-5,Jalan Theatre,Ipoh,Kinta,Perak,30300,Runcit,2020/12/31 00:00:00.000
NEWWAY PHARMACY (M) SDN. BHD. [FARMASI NEWWAY],"1434, Bukit Rasah Business Centre",Jalan Rasah,Seremban,Seremban,Negeri Sembilan,70300,Borong & Runcit,2020/12/31 00:00:00.000
Nextage Medipharma Sdn Bhd [Nextage Pharmacy],6,Jalan Seri Putra 3/10 Bandar Seri Putra,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Nextage Medipharma Sdn Bhd [Nextage Pharmacy],F-9-GA,Jalan Prima Saujana 2/D Taman Prima Saujana,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
Nextage Medipharma Sdn Bhd [Nextage Pharmacy],No 5-G Mutiara Avenue,"Jalan Mutiara 1, Mutiara Heights",Kajang,Hulu Langat,Selangor,43000,Borong & Runcit,2020/12/31 00:00:00.000
NEXTAGE MEDIPHARMA SDN. BHD.,41,"Jalan Dahlia 6/3, Taman Nilai Impian",Nilai,Seremban,Negeri Sembilan,71800,Runcit,2020/12/31 00:00:00.000
Nextage Pharmacare Sdn Bhd [Farmasi Nextage],9-1,Jalan 18/33A Taman Sri Serdang,Seri Kembangan,Hulu Langat,Selangor,43300,Runcit,2020/12/31 00:00:00.000
Nexus Vital Care,No.9,"Jalan Klebang Ria 3, Taman Klebang Ria",Chemor,Kinta,Perak,31200,Runcit,2020/12/31 00:00:00.000
NH PLUS PHARMACY SDN BHD,507,"Persiaran SM 2B/23, Fasa 2B",Seri Manjung,Manjung,Perak,32040,Runcit,2020/12/31 00:00:00.000
Nice Pharmacy Sdn Bhd,57-G,"Jalan Temenggung 3/9 Seksyen 9, Bandar Mahkota Cheras",Cheras,Hulu Langat,Selangor,43200,Runcit,2020/12/31 00:00:00.000
Niks Pharmacy,"Lot 1.15, level 1, Pelangi Leisure Mall","Jalan Serampang, Taman Pelangi",Johor Bahru,Johor Bahru,Johor,80400,Runcit,2020/12/31 00:00:00.000
NILAM BERSATU SDN BHD [FARMASI PARADISE],G-01,"Wisma Paradise, 63, Jalan Ampang",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50450,Runcit,2020/12/31 00:00:00.000
NILAM PERTAMA TRADING,"NO 17, TINGKAT BAWAH","Kompleks Perniagaan Alor Janggus, Batu 5 1/2 Jalan Putra, Pekan Alor Janggus",Alor Setar,Kota Setar,Kedah,06250,Runcit,2020/12/31 00:00:00.000
NILAM PHARMACY [FARMASI NILAM],"LOT 1160-7B, BATU 7 1/4,",Jalan Kuala Krai,Nilam Puri,Kota Bharu,Kelantan,16010,Runcit,2020/12/31 00:00:00.000
NORI CARE PHARMACY,47,"Kompleks PKNP, Medan Gopeng",Ipoh,Kinta,Perak,31350,Runcit,2020/12/31 00:00:00.000
NORTH PARK PHARMACY SDN BHD,B7,Jalan Bakar Arang,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
NORTHERN HEALTHCARE,4,"JALAN KUDA KEPANG 1/1A, TAMAN RIA JAYA",Sungai Petani,Kuala Muda,Kedah,08000,Borong & Runcit,2020/12/31 00:00:00.000
Nota Arif Sdn Bhd [Farmasi Arif Sihat],53-G,Jalan 7/7C Seksyen 7,Bandar Baru Bangi,Hulu Langat,Selangor,43650,Borong & Runcit,2020/12/31 00:00:00.000
Notts Pharmacy Sdn Bhd,No 54,Jalan Anggerik Vanilla W31/W Kota Kemuning  Seksyen 31,Shah Alam,Petaling,Selangor,40460,Runcit,2020/12/31 00:00:00.000
Nur Apothecary Sdn Bhd [Nur Apothecary],No 36-G,Jalan PJS 8/6 Sunway Mentari Bandar Sunway,Petaling Jaya,Petaling,Selangor,46150,Runcit,2020/12/31 00:00:00.000
NUR MEDICHEMIE PHARMACY,"Lot 253, Seksyen 1",Jalan Tengku Rahim,Pasir Puteh,Pasir Puteh,Kelantan,16800,Runcit,2020/12/31 00:00:00.000
Nur Syamim binti Ismail (Farmasi Chembong) [Farmasi Chembong],"No 34, Ground Floor",Taman Rembau Jaya,Chembong,Rembau,Negeri Sembilan,71300,Runcit,2020/12/31 00:00:00.000
NURINA PHARMACY,LOT 10-1,"Kompleks Perniagaan Utama, Jalan Sultanah Sambungan",Alor Setar,Kota Setar,Kedah,05300,Runcit,2020/12/31 00:00:00.000
NURUL PHARMACARE (FARMASI NURUL),"No.32,",Susur Kay Long,Gopeng,Kampar,Perak,31600,Runcit,2020/12/31 00:00:00.000
NUTRI PHARM PHARMACY,3A,"Taman Seroja 2, Kg Koh",Sitiawan,Manjung,Perak,32000,Runcit,2020/12/31 00:00:00.000
NUTRICIENT RX SDN BHD [GEORGETOWN PHARMACY ],1,Jalan Ong Yi How,Butterworth,Seberang Perai Utara,Pulau Pinang,13400,Runcit,2020/12/31 00:00:00.000
NUTRIHEALTH PHARMACY,114,Jalan Temenggong,Ipoh,Kinta,Perak,31650,Runcit,2020/12/31 00:00:00.000
NUTRILIFE FARMASI,"586, Tingkat Bawah","Lorong Kemuning 1, Taman Kemuning",Kulim,Kulim,Kedah,09000,Runcit,2020/12/31 00:00:00.000
NUTRILIFE PHARMACY SDN BHD [GEORGETOWN PHARMACY],NO 9,Jalan Raja Syed Alwi,Kangar,Kangar,Perlis,01000,Borong & Runcit,2020/12/31 00:00:00.000
NUTRISENSE PHARMACY SDN BHD,"Level 1 (Ground Floor), Lot 19544, (Sublot 3, Block A1), Parent Lots 9192-9194, Blk 11, MTLD, Saradise Kuching",Jalan Stutong,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
O'CARE PHARMACY,"No 86, Medan Sepadu",Jalan Abang Galau,Bintulu,Bintulu,Sarawak,97007,Runcit,2020/12/31 00:00:00.000
OASIS SRI GUNUNG ENTERPRISE,NO 2,"DEPAN SEKOLAH KEBANGSAAN SRI GUNUNG, JALAN GUNUNG KERIANG",Alor Setar,Kota Setar,Kedah,05150,Runcit,2020/12/31 00:00:00.000
OB 13 OTTO BESERI TRADING [FARMASI OTTO PHARMA],"No.1, Lot Kedai Jalan Balai Baru, Taman Chelong",Jalan Balai Baru,Beseri,Padang Besar,Perlis,02400,Runcit,2020/12/31 00:00:00.000
Obagi Skin Health Centre (KK) Sdn. Bhd.,"Shoplot 2/G6, Ground Floor, Block 2, Api-Api Centre",Jalan Centre Point,Kota Kinabalu,Kota Kinabalu,Sabah,88000,Runcit,2020/12/31 00:00:00.000
OK DISTRIBUTION SDN BHD,No. 6,"Jalan Hujan Emas 4, Taman Overseas Union",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
OK Health Group (M) Sdn Bhd [OK Pharmacy],No 56 A-G,Jalan Pandan Cahaya 2/3 Pandan Cahaya,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
OK Health Group (M) Sdn Bhd [OK Pharmacy],"No 25-G,","Jalan 3/76D, Desa Pandan",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
OK Health Group (Malaysia) Sdn Bhd [Farmasi OK],No. 48 (GF),Jalan TK 1/1 Taman Kinrara Seksyen 1,Puchong,Petaling,Selangor,47180,Runcit,2020/12/31 00:00:00.000
OK HEALTH GROUP (MALAYSIA) SDN BHD [FARMASI OK],NO 57,"Jalan 2/3A, KM12, Jalan Ipoh, Batu Caves",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,68100,Runcit,2020/12/31 00:00:00.000
OK HEALTH GROUP (MALAYSIA) SDN. BHD. [FARMASI OK],PT20572,"Jalan Ts 2/1 E, Taman Semarak 2",Nilai,Seremban,Negeri Sembilan,71800,Runcit,2020/12/31 00:00:00.000
OK Healthcare Sdn Bhd [Farmasi OK],"55, Ground Floor, Wisma Huat Hing",Jalan Pasar Baru,Semenyih,Hulu Langat,Selangor,43500,Runcit,2020/12/31 00:00:00.000
OKLIN PHARMACY SDN BHD [OKLIN PHARMACY],"Ground Floor, Lot 2718 of Block 4, Sungai Merah Town District, No. 30",Pusat Pedada,Sibu,Sibu,Sarawak,96000,Runcit,2020/12/31 00:00:00.000
Old Town Healthcare Sdn Bhd [AA Pharmacy],"Ground Floor, No 106",Jalan Othman,Petaling Jaya,Petaling,Selangor,46000,Runcit,2020/12/31 00:00:00.000
Olive9 Pharmacy Sdn Bhd [Olive9 Pharmacy],No 69 Tingkat Bawah,Jalan Nova N U5/N Seksyen U5,Shah Alam,Petaling,Selangor,40150,Borong & Runcit,2020/12/31 00:00:00.000
One Berjasa Sdn Bhd [Firstcare Pharmacy],"Lot 109, Tingkat G, Blok 3, Pangsapuri Anggerik Indah",Jalan 16/7 Seksyen 16,Shah Alam,Petaling,Selangor,40200,Runcit,2020/12/31 00:00:00.000
One Care Pharmacy Sdn Bhd,412,Jalan Besar Pandamaran,Pelabuhan Klang,Klang,Selangor,42000,Runcit,2020/12/31 00:00:00.000
One Caring Pharmacy Sdn Bhd [Caring Pharmacy],Lot 2 GL 2 No 1 Plaza Jelutong,Persiaran Gerbang Utama Bukit Jelutong Seksyen U8,Shah Alam,Petaling,Selangor,40150,Runcit,2020/12/31 00:00:00.000
One Caring Pharmacy Sdn Bhd [Caring Pharmacy],"Lot LG-12&13, Tingkat Terbawah","1 Mont Kiara, No. 1, Jalan Kiara, Mont Kiara",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50480,Runcit,2020/12/31 00:00:00.000
ONE CHOICE PHARMACY SDN BHD,"Ground Floor, Lot 90, Block 12, MTLD",Tabuan Tranquility Phase 3,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
One Hinode (Bangsar South) Sdn Bhd [One Pharmacy],UG-6,"The Vertical Podium, Avenue 3, Bangsar South, No 8, Jalan Kerinchi",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59200,Runcit,2020/12/31 00:00:00.000
ONE HINODE (MEGAN AVENUE) SDN BHD [ONE PHARMACY],A-0-1D,"Wisma HB, Megan Avenue II, Jalan Yap Kwan Seng",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50450,Runcit,2020/12/31 00:00:00.000
One Premier Care & Supplies [Medic House Pharmacy],No 29,"Jalan Jernang Jaya 1, Taman Jernang Jaya",Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
ONE STOP WELLCARE PHARMACY,No.91 Tingkat Bawah,"Jalan Lagenda 1, Legenda Heights",Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
One-Stop Pharmacy Sdn Bhd,106,Persiaran Raja Muda Musa,Pelabuhan Klang,Klang,Selangor,42000,Runcit,2020/12/31 00:00:00.000
ONEMEDS PHARMACY SDN BHD [ONEMEDS PHARMACY],NO. 40,"Jalan Alam Damai 1, Alam Damai, Cheras",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,56000,Runcit,2020/12/31 00:00:00.000
ONG PHARMACY,"Ground Floor, No. 27, Lot 7084",Jalan Datuk Mohammad Musa,Kota Samarahan,Samarahan,Sarawak,94300,Runcit,2020/12/31 00:00:00.000
ONLY PHARMACY SDN BHD,"LOT 3, TINGKAT BAWAH, BANDAR ANDAMY SQUARE, BATU 8",Jalan Labuk,Sandakan,Sandakan,Sabah,90000,Borong & Runcit,2020/12/31 00:00:00.000
OPTIMA HEALTHCARE ENTERPRISE [FARMASI PADANG RENGAS],"NO 13, TGKT BAWAH PERSIARAN RENGAS JAYA",Taman Rengas Jaya,Padang Rengas,Kuala Kangsar,Perak,33700,Runcit,2020/12/31 00:00:00.000
Orange Pharmacy Sdn. Bhd.,No. 41,"Jalan Kebudayaan 16, Taman Universiti",Skudai,Johor Bahru,Johor,81300,Runcit,2020/12/31 00:00:00.000
ORIENTAL PHARMACY,69,India Street,Kuching,Kuching,Sarawak,93000,Runcit,2020/12/31 00:00:00.000
OTTO ARAU ENTERPRISE [FARMASI OTTO PHARMA],"NO.29 TINGKAT BAWAH, KOMPLEKS TOK ARAU",Jalan Dua,Arau,Arau,Perlis,02600,Runcit,2020/12/31 00:00:00.000
OTTO JDK TRADING [FARMASI OTTO],"113B, Taman Nakishah",Jalan Datuk Kumbar,Alor Setar,Kota Setar,Kedah,05300,Runcit,2020/12/31 00:00:00.000
OUG Pharmacy Sdn Bhd,"No. 15, Tingkat Bawah,","Jalan Hujan Rahmat 2, Taman Overseas Union",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,58200,Runcit,2020/12/31 00:00:00.000
P.J. PHARMACY,"Lot 5818, Ground Floor, Batu 2 1/2",Jalan Matang,Kuching,Kuching,Sarawak,93050,Runcit,2020/12/31 00:00:00.000
PADAWAN PHARMACY,"No. 38A, Lot 133",10th Mile Bazaar,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
PAHANG PHARMACY SDN BHD,51,Jalan Teluk Sisek,Kuantan,Kuantan,Pahang,25000,Borong & Runcit,2020/12/31 00:00:00.000
PAHANG PHARMACY SDN BHD,"No 106, Ground Floor",Jalan Pasdec,Bentong,Bentong,Pahang,28700,Runcit,2020/12/31 00:00:00.000
PAHANG PHARMACY SDN BHD,"No 41, Jalan Lipis",Bandar Raub Perdana,Raub,Raub,Pahang,27600,Runcit,2020/12/31 00:00:00.000
PAHANG PHARMACY SDN BHD,No 120 & 121,"Kedai LKNP, Jalan Besar",Bandar Baru Kuala Lipis,Lipis,Pahang,27200,Runcit,2020/12/31 00:00:00.000
PAHANG PHARMACY SDN BHD [KARAK FARMASI],No 14,Jalan Besar Karak,Karak,Bentong,Pahang,28600,Runcit,2020/12/31 00:00:00.000
Pai Wang Pharmacy Sdn Bhd [Farmasi Pai Wang],1206,Jalan Besar Sungai Bakap,Sungai Jawi,Seberang Perai Selatan,Pulau Pinang,14200,Runcit,2020/12/31 00:00:00.000
Palm Pharmacy,"Lot 11, Sedco Complex Town Centre",Jalan Kemuning,Lahad Datu,Lahad Datu,Sabah,91100,Runcit,2020/12/31 00:00:00.000
PANACEA PHARMACY [PANACEA PHARMACY],2-D,Lorong Selamat,Georgetown,Timur Laut,Pulau Pinang,10400,Runcit,2020/12/31 00:00:00.000
Pantai Medical Centre Sdn Bhd
,No. 8
,Jalan Bukit Pantai,Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59100,Runcit,2020/12/31 00:00:00.000
Parit Buntar Pharmacy Sdn Bhd,No.207,Jalan Taiping,Parit Buntar,Kerian,Perak,34200,Borong & Runcit,2020/12/31 00:00:00.000
PARK PHARMACY SDN BHD,"Lot 14/8887, Block II",Tabuan Jaya,Kuching,Kuching,Sarawak,93350,Runcit,2020/12/31 00:00:00.000
Paspa Pharmaceuticals (Asia) Sdn Bhd [Paspa Pharmaceuticals],36,Jalan TK 4/5 Taman Kinrara 4,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
PC MURNI PHARMACY SDN BHD [PC MURNI PHARMACY SDN BHD],PT 535 A,Taman Murni Jalan Pengkalan Chepa,Kota Bharu,Kota Bharu,Kelantan,15400,Runcit,2020/12/31 00:00:00.000
PEACE & HEALTH PHARMACY SDN BHD,"Lot 1-11A, Star Mega Mall",Tunku Abdul Rahman Road,Sibu,Sibu,Sarawak,96000,Borong & Runcit,2020/12/31 00:00:00.000
PEACE PHARMACY,"Ground Floor, Sublot 21, Golden Court Commercial Centre, 4 1/2 Mile",Penrissen Road,Kuching,Kuching,Sarawak,93250,Runcit,2020/12/31 00:00:00.000
PEARL PHARMACY SDN BHD,"TB 168 & TB 169, Tingkat 2, P.S. 476.",Jalan Belian,Tawau,Tawau,Sabah,91007,Borong & Runcit,2020/12/31 00:00:00.000
Pelangi Aman Marketing Sdn Bhd [Farmasi PL],Plot 15 Taman Changlun,Jalan Sintok,Changloon,Kubang Pasu,Kedah,06010,Runcit,2020/12/31 00:00:00.000
Pelangi Aman Marketing Sdn. Bhd.,No. 7 & 8,Kompleks Perniagaan Langgar,Alor Setar,Kota Setar,Kedah,06500,Borong & Runcit,2020/12/31 00:00:00.000
Pelangi Aman Marketing Sdn. Bhd. [Farmasi Jitra],9,TAMAN JITRA JAYA,Jitra,Kubang Pasu,Kedah,06000,Runcit,2020/12/31 00:00:00.000
PELANGI CARE TRADING [FARMASI PELANGI],"NO. 17 A KOMPLEKS MBSP SEMENTARA, BLOK D",Taman Pelangi,Perai,Seberang Perai Tengah,Pulau Pinang,13600,Borong & Runcit,2020/12/31 00:00:00.000
Penawar Medical Supply Sdn. Bhd.,"No. 21, 23 & 25","Jalan Sena 1, Taman Rinting",Masai,Johor Bahru,Johor,81750,Borong & Runcit,2020/12/31 00:00:00.000
PENTACARE PHARMACY SDN. BHD.,49,"Jalan Manggis, Taman Tiram Baru",Ulu Tiram,Johor Bahru,Johor,81800,Runcit,2020/12/31 00:00:00.000
PEOPLE'S PHARMACY (M) SDN BHD,No 59 & 61,Jalan Bendahara,Melaka,Melaka Tengah,Melaka,75100,Borong & Runcit,2020/12/31 00:00:00.000
Peoples Primary Pharmacy Sdn Bhd [Peoples Pharmacy],"Lot S1-B, Kompleks Cenderawasih",Jalan Besar Nibong Tebal,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang,14300,Borong & Runcit,2020/12/31 00:00:00.000
PEOPLES PRIMARY PHARMACY SDN. BHD. [PEOPLES PHARMACY],"Shop 10, The Prestige, 8",Gat Lebuh Gereja,Georgetown,Timur Laut,Pulau Pinang,10300,Runcit,2020/12/31 00:00:00.000
Perennial Pharmacy Sdn. Bhd.,No. 33,"Jalan Pahlawan 1, Taman Ungku Tun Aminah",Skudai,Johor Bahru,Johor,81300,Runcit,2020/12/31 00:00:00.000
Perennial Pharmacy Sdn. Bhd. [Ai Care 360 Pharmacy],No. 11,"Jalan Pendekar 16, Taman Ungku Tun Aminah",Skudai,Johor Bahru,Johor,81300,Runcit,2020/12/31 00:00:00.000
Perfect Pharma (M) Sdn. Bhd. [Farmasi Kaisar],11,Jalan Dataran Villa Putra 1 Dataran Villa Putra Taman Villa Putra,Sungai Buloh,Petaling,Selangor,47000,Runcit,2020/12/31 00:00:00.000
PERMAI HEALTH ENTERPRISE,"PT5784-G, Bangunan KOKITAB",Kg Balik Bukit,Bandar Permaisuri,Setiu,Terengganu,22100,Runcit,2020/12/31 00:00:00.000
PERMAI PHARMACY,"NO.2, GROUND FLOOR",Jalan Pantai,Kota Kinabalu,Kota Kinabalu,Sabah,88000,Runcit,2020/12/31 00:00:00.000
